 (Half Day),(Meio Dia)
Delivery Note {0} must not be submitted,Entrega Nota {0} não deve ser apresentado
Delivery Notes {0} must be cancelled before cancelling this Sales Order,Notas de entrega {0} deve ser cancelado antes de cancelar esta pedido de venda
Delivery Status,Estado da entrega
Delivery Time,Prazo de Entrega
Delivery To,Entregar Para
Department,Departamento
Department Stores,Lojas de Departamento
Depends on LWP,Dependem do LWP
Depreciation,Depreciação
Description,Descrição
Description HTML,Descrição HTML
Designation,Designação
Designer,Desenho
Detailed Breakup of the totals,Detalhamento dos totais
Details,Detalhes
Difference (Dr - Cr),Diferença (Db - Cr)
Difference Account,Conta Diferença
"Difference Account must be a 'Liability' type account, since this Stock Reconciliation is an Opening Entry","Conta diferença deve ser um tipo de conta ' Responsabilidade ' , uma vez que este Banco de reconciliação é uma entrada de Abertura"
Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,UDM diferente para itens levará a incorreta valor Peso Líquido (Total). Certifique-se de que o peso líquido de cada item está na mesma UDM .
Direct Expenses,Despesas Diretas
Direct Income,Receitas Diretas
Disable,Desabilitar
Disable Rounded Total,Desabilitar Total Arredondado
Disabled,Desativado
Discount  %,% Desconto
Discount %,% Desconto
Discount (%),Desconto (%)
Discount Amount,Total de Desconto
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice","Campos de desconto estarão disponíveis em Ordem de Compra, Recibo de Compra, Fatura de Compra"
Discount Percentage,Percentagem de Desconto
Discount Percentage can be applied either against a Price List or for all Price List.,O Percentual de Desconto pode ser aplicado tanto em uma Lista de Preços quanto para todas.
Discount must be less than 100,Desconto deve ser inferior a 100
Discount(%),Desconto(%)
Dispatch,expedição
Display all the individual items delivered with the main items,Exibir todos os itens individuais entregues com os itens principais
Distribute transport overhead across items.,Distribuir o custo de transporte através dos itens.
Distribution,Distribuição
Distribution Id,Id da Distribuição
Distribution Name,Nome da Distribuição
Distributor,Distribuidor
Divorced,Divorciado
Do Not Contact,Não Entre em Contato
Do not show any symbol like $ etc next to currencies.,Não mostrar qualquer símbolo como US $ etc ao lado de moedas.
Do really want to unstop production order: ,Tem certeza de que deseja continuar a ordem de produção: 
Do you really want to STOP ,Você realmente deseja PARAR 
Do you really want to STOP this Material Request?,Você realmente deseja PARAR esta Solicitação de Materiais?
Do you really want to Submit all Salary Slip for month {0} and year {1},Você realmente quer submeter todos os folha de salário do mês {0} e {1} ano
Do you really want to UNSTOP ,Você realmente deseja CONTINUAR 
Do you really want to UNSTOP this Material Request?,Você realmente deseja CONTINUAR este Pedido de Material?
Do you really want to stop production order: ,Você realmente deseja parar esta ordem de produção: 
Doc Name,Nome do Documento
Doc Type,Tipo do Documento
Document Description,Descrição do Documento
Document Type,Tipo de Documento
Documents,Documentos
Domain,Domínio
Don't send Employee Birthday Reminders,Não envie Lembretes de Aniversário do Colaborador
Download Materials Required,Baixar Materiais Necessários
Download Reconcilation Data,Download Dados De Reconciliação
Download Template,Baixar o Modelo
Download a report containing all raw materials with their latest inventory status,Baixar um relatório contendo todas as matérias-primas com o seu estado mais recente do inventário
"Download the Template, fill appropriate data and attach the modified file.","Baixe o modelo , preencha os dados apropriados e anexe o arquivo modificado."
"Download the Template, fill appropriate data and attach the modified file.
All dates and employee combination in the selected period will come in the template, with existing attendance records","Descarregue o Modelo, preencha os dados apropriados e anexe o arquivo modificado.
Todas as datas e combinações de colaboradores no período selecionado virão no modelo, com os registros de presença existentes"
Draft,Rascunho
Dropbox,Dropbox
Dropbox Access Allowed,Dropbox acesso permitido
Dropbox Access Key,Dropbox Chave de Acesso
Dropbox Access Secret,Dropbox acesso secreta
Due Date,Data de Vencimento
Due Date cannot be after {0},Due Date não pode ser posterior a {0}
Due Date cannot be before Posting Date,Due Date não pode ser antes de Postar Data
Duplicate Entry. Please check Authorization Rule {0},Entrada Duplicada. Por favor verifique Regra de Autorização {0}
Duplicate Serial No entered for Item {0},Nº de Série Duplicado utilizado para item {0}
Duplicate entry,duplicar entrada
Duplicate row {0} with same {1},Linha duplicada {0} com o mesmo {1}
Duties and Taxes,Impostos e Contribuições
ERPNext Setup,Configuração do ERPNext
Earliest,Mais antigas
Earnest Money,Dinheiro Earnest
Earning,Ganho
Earning & Deduction,Ganho e Dedução
Earning Type,Tipo de Ganho
Earning1,Earning1
Edit,Editar
Education,Educação
Educational Qualification,Qualificação Educacional
Educational Qualification Details,Detalhes da Qualificação Educacional
Eg. smsgateway.com/api/send_sms.cgi,Por exemplo: smsgateway.com / api / send_sms.cgi
Either debit or credit amount is required for {0},De qualquer débito ou valor do crédito é necessário para {0}
Either target qty or target amount is mandatory,Ou qty alvo ou valor alvo é obrigatório
Either target qty or target amount is mandatory.,Ou qty alvo ou valor alvo é obrigatória.
Electrical,Elétrico
Electricity Cost,Custo de Energia Elétrica
Electricity cost per hour,Custo de Eletricidade por Hora
Electronics,Eletrônica
Email,E-Mail
Email Digest,Resumo por E-Mail
Email Digest Settings,Configurações do Resumo por E-Mail
Email Digest: ,Resumo por E-Mail: 
Email Id,Endereço de E-Mail
"Email Id where a job applicant will email e.g. ""jobs@example.com""","Endereço do e-mail onde um candidato a emprego vai enviar e-mail, por exemplo: &quot;empregos@exemplo.com&quot;"
Email Notifications,Notificações de e-mail
Email Sent?,E-Mail Enviado?
"Email id must be unique, already exists for {0}","ID de e-mail deve ser único, já existe para {0}"
Email ids separated by commas.,Ids e-mail separados por vírgulas.
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""","Configurações de e-mail para extrair Prospectos do e-mail de vendas, por exemplo &quot;vendas@exemplo.com&quot;"
Emergency Contact,Contato de Emergência
Emergency Contact Details,Detalhes do Contato de Emergência
Emergency Phone,Telefone de Emergência
Employee,Colaborador
Employee Birthday,Aniversário do Colaborador
Employee Details,Detalhes do Colaborador
Employee Education,Escolaridade do Colaborador
Employee External Work History,Histórico de Trabalho Externo do Colaborador
Employee Information,Informações do Colaborador
Employee Internal Work History,Histórico de Trabalho Interno do Colaborador
Employee Internal Work Historys,Histórico de Trabalho Interno do Colaborador
Employee Leave Approver,Aprovador de Férias do Colaborador
Employee Leave Balance,Balanço de Férias do Colaborador
Employee Name,Nome do Colaborador
Employee Number,Nº do Colaborador
Employee Records to be created by,Registros de Colaborador a serem criados por
Employee Settings,Configurações do Colaborador
Employee Type,Tipo de Colaborador
"Employee designation (e.g. CEO, Director etc.).","Designação do colaborador (por exemplo, CEO , diretor , etc.)"
Employee master.,Cadastro de colaboradores.
Employee record is created using selected field. ,Registro do colaborador é criado usando o campo selecionado.
Employee records.,Registros de colaboradores.
Employee relieved on {0} must be set as 'Left',Empregado aliviada em {0} deve ser definido como 'Esquerda'
Employee {0} has already applied for {1} between {2} and {3},Empregado {0} já solicitou {1} {2} entre e {3}
Employee {0} is not active or does not exist,Empregado {0} não está ativo ou não existe
Employee {0} was on leave on {1}. Cannot mark attendance.,Empregado {0} estava de licença em {1} . Não pode marcar presença.
Employees Email Id,Endereços de E-Mail dos Colaboradores
Employment Details,Detalhes do Emprego
Employment Type,Tipo de Emprego
Enable / disable currencies.,Ativar / desativar moedas.
Enabled,Habilitado(a)
Encashment Date,Data da Cobrança
End Date,Data Final
End Date can not be less than Start Date,Data final não pode ser inferior a data de início
End date of current invoice's period,Data final do período de fatura atual
End of Life,Fim de Vida
Energy,Energia
Engineer,Engenheiro
Enter Verification Code,Digite o Código de Verificação
Enter campaign name if the source of lead is campaign.,Digite o nome da campanha se a origem do Prospecto foi uma campanha.
Enter department to which this Contact belongs,Entre com o departamento a que este contato pertence
Enter designation of this Contact,Digite a designação deste contato
"Enter email id separated by commas, invoice will be mailed automatically on particular date","Digite os endereços de e-mail separados por vírgulas, a fatura será enviada automaticamente na data determinada"
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,Digite itens e qtde. planejada para o qual você quer levantar ordens de produção ou fazer o download de matérias-primas para a análise.
Enter name of campaign if source of enquiry is campaign,Digite o nome da campanha se o motivo da consulta foi uma campanha.
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Digite os parâmetros da URL estática aqui (por exemplo remetente=ERPNext, usuario=ERPNext, senha=1234, etc)"
Enter the company name under which Account Head will be created for this Supplier,Digite o nome da empresa sob a qual a Conta será criada para este fornecedor
Enter url parameter for message,Digite o parâmetro da url para mensagem
Enter url parameter for receiver nos,Digite o parâmetro da url para os números de receptores
Entertainment & Leisure,Entretenimento e Lazer
Entertainment Expenses,Despesas de Entretenimento
Entries,Lançamentos
Entries against,Lançamentos contra
Entries are not allowed against this Fiscal Year if the year is closed.,Lançamentos não são permitidos contra este Ano Fiscal se o ano está fechado.
Entries before {0} are frozen,Entradas antes {0} são congelados
Equity,Patrimônio
Error: {0} > {1},Erro: {0} > {1}
Estimated Material Cost,Custo Estimado de Material
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Mesmo se houverem múltiplas Regras de Preço com prioridade mais alta, as seguintes prioridades internas serão aplicadas:"
Everyone can read,Todo mundo pode ler
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Exemplo: ABCD.#####
Se a série estiver definida e o Nº de Série não for mencionado nas transações, então um número de série automático será criado baseado nesta série. Se você sempre necessita mencionar explicitamente Nºs de Série para este item, deixe o campo em branco."
Exchange Rate,Taxa de Câmbio
Excise Page Number,Nº de Página do Imposto
Excise Voucher,Comprovante do imposto
Execution,Execução
Executive Search,Pesquisa Executiva
Exemption Limit,Limite de Isenção
Exhibition,Exposição
Existing Customer,Cliente existente
Exit,Sair
Exit Interview Details,Detalhes da Entrevista de saída
Expected,Esperado
Expected Completion Date can not be less than Project Start Date,Esperada Data de Conclusão não pode ser inferior a Projeto Data de Início
Expected Date cannot be before Material Request Date,Data prevista não pode ser antes de Material Data do Pedido
Expected Delivery Date,Data de entrega prevista
Expected Delivery Date cannot be before Purchase Order Date,Previsão de Entrega A data não pode ser antes de Ordem de Compra Data
Expected Delivery Date cannot be before Sales Order Date,Previsão de Entrega A data não pode ser antes de Pedido de Vendas Data
Expected End Date,Data Final Prevista
Expected Start Date,Data Inicial Prevista
Expense,despesa
Expense Account,Conta de Despesas
Expense Account is mandatory,Conta de despesa é obrigatória
Expense Claim,Pedido de Reembolso de Despesas
Expense Claim Approved,Pedido de Reembolso de Despesas Aprovado
Expense Claim Approved Message,Mensagem de Aprovação do Pedido de Reembolso de Despesas
Expense Claim Detail,Detalhe do Pedido de Reembolso de Despesas
Expense Claim Details,Detalhes do Pedido de Reembolso de Despesas
Expense Claim Rejected,Pedido de Reembolso de Despesas Rejeitado
Expense Claim Rejected Message,Mensagem de Recusa do Pedido de Reembolso de Despesas
Expense Claim Type,Tipo de Pedido de Reembolso de Despesas
Expense Claim has been approved.,O Pedido de Reembolso de Despesas foi aprovado.
Expense Claim has been rejected.,O Pedido de Reembolso de Despesas foi rejeitado.
Expense Claim is pending approval. Only the Expense Approver can update status.,O Pedido de Reembolso de Despesas está pendente de aprovação. Somente o Aprovador de Despesas pode atualizar o status.
Expense Date,Data da Despesa
Expense Details,Detalhes da Despesa
Expense Head,Conta de Despesas
Expense account is mandatory for item {0},Conta de despesa é obrigatória para item {0}
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,Contas de Despesa e Diferença são obrigatórias para o Item {0} pois impactam no valor total de estoque
Expenses,Despesas
Expenses Booked,Despesas Contabilizadas
Expenses Included In Valuation,Despesas Incluídas na Valorização
Expenses booked for the digest period,Despesas contabilizadas para o período consolidado
Expiry Date,Data de Validade
Exports,Exportações
External,Externo
Extract Emails,Extrair E-Mails
FCFS Rate,Taxa FCFS
Failed: ,Falha: 
Family Background,Antecedentes Familiares
Fax,Fax
Features Setup,Configuração de Características
Feed,Alimentar
Feed Type,Tipo de alimentação
Feedback,Comentários
Female,Feminino
Fetch exploded BOM (including sub-assemblies),Fetch BOM explodiu (incluindo sub-conjuntos )
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order","Campo disponível na Guia de Remessa, Cotação, Fatura de Venda, Pedido de Venda"
Files Folder ID,ID da Pasta de Arquivos
Fill the form and save it,Preencha o formulário e salvá-lo
Filter based on customer,Filtrar baseado em cliente
Filter based on item,Filtrar baseado no item
Financial / accounting year.,Exercício / contabilidade.
Financial Analytics,Análise Financeira
Financial Services,Serviços Financeiros
Financial Year End Date,Data de Encerramento do Ano Fiscal 
Financial Year Start Date,Data de Início do Ano Fiscal
Finished Goods,Produtos Acabados
First Name,Nome
First Responded On,Primeira Resposta Em
Fiscal Year,Exercício Fiscal
Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0},A Data Inicial e a Data Final do Ano Fiscal já estão definidas no Ano Fiscal {0}
Fiscal Year Start Date and Fiscal Year End Date cannot be more than a year apart.,A Data Inicial e a Data Final do Ano Fiscal não devem distanciar-se a mais de um ano.
Fiscal Year Start Date should not be greater than Fiscal Year End Date,A Data Inicial do Ano Fiscal não deve ser maior do que a Data Final.
Fixed Asset,Ativo Fixo
Fixed Assets,Ativos Fixos
Follow via Email,Siga por E-Mail
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",A tabela a seguir mostrará valores se os itens são sub-contratados. Estes valores serão obtidos a partir do cadastro da &quot;Lista de Materiais&quot; de itens sub-contratados.
Food,Comida
"Food, Beverage & Tobacco","Comida, Bebida e Tabaco"
For Company,Para a Empresa
For Employee,Para o Colaborador
For Employee Name,Para Nome do Colaborador
For Price List,Para Lista de Preço
For Production,Para Produção
For Reference Only.,Apenas para referência.
For Sales Invoice,Para fatura de vendas
For Server Side Print Formats,Para Formatos de Impressão do Lado do Servidor
For Supplier,Para o Fornecedor
For Warehouse,Para o Almoxarifado
For Warehouse is required before Submit,Para o Almoxarifado é necessário antes de Enviar
"For e.g. 2012, 2012-13","Para por exemplo 2012, 2012-13"
For reference,Para Referência
For reference only.,Apenas para referência.
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","Para a comodidade dos clientes, estes códigos podem ser usados ​​em formatos de impressão, como Notas Fiscais e Guias de Remessa"
Fraction,Fração
Fraction Units,Unidades fracionadas
Freeze Stock Entries,Congelar da Entries
Freeze Stocks Older Than [Days],Congeladores Stocks mais velhos do que [ dias ]
Freight and Forwarding Charges,Freight Forwarding e Encargos
Friday,Sexta-feira
From,De
From Bill of Materials,De Bill of Materials
From Company,Da Empresa
From Currency,De Moeda
From Currency and To Currency cannot be same,De Moeda e Para Moeda não pode ser o mesmo
From Customer,Do Cliente
From Customer Issue,Do Problema do Cliente
From Date,A partir da data
From Date must be before To Date,A data inicial deve ser anterior a data final
From Delivery Note,De Nota de Entrega
From Employee,Do Colaborador
From Lead,Do Prospecto
From Maintenance Schedule,Da Programação de Manutenção
From Material Request,Do Pedido de Materiais
From Opportunity,Da Oportunidade
From Package No.,Do Pacote Nº
From Purchase Order,Da Ordem de Compra
From Purchase Receipt,Do Recibo de Compra
From Quotation,Da Cotação
From Sales Order,Do Pedido de Vendas
From Supplier Quotation,Da Cotação do Fornecedor
From Time,Do Horário
From Value,Do Valor
From and To dates required,Datas De e Para obrigatórias
From value must be less than to value in row {0},Do valor deve ser menor do que o valor na linha {0}
Frozen,Congelado
Frozen Accounts Modifier,Contas congeladas Modifier
Fulfilled,Cumprido
Full Name,Nome Completo
Full-time,De tempo integral
Fully Completed,Totalmente concluída
Furniture and Fixture,Móveis e utensílios
Further accounts can be made under Groups but entries can be made against Ledger,"Outras contas podem ser feitas em grupos, mas os lançamentos podem ser feitos contra Livro Contábil"
"Further accounts can be made under Groups, but entries can be made against Ledger","Outras contas podem ser feitas em grupos, mas os lançamentos podem ser feitos contra Livro Contábil"
Further nodes can be only created under 'Group' type nodes,Outros nós só podem ser criados sob os nós do tipo 'grupo'
GL Entry,Lançamento GL
Gantt Chart,Gráfico de Gantt
Gantt chart of all tasks.,Gráfico de Gantt de todas as tarefas.
Gender,Sexo
General,Geral
General Ledger,Livro Diário
Generate Description HTML,Gerar Descrição HTML
Generate Material Requests (MRP) and Production Orders.,Gerar Pedidos de Materiais (MRP) e ordens de produção.
Generate Salary Slips,Gerar folhas de pagamento
Generate Schedule,Gerar Agenda
Generates HTML to include selected image in the description,Gera HTML para incluir a imagem selecionada na descrição
Get Advances Paid,Obter adiantamentos pagos
Get Advances Received,Obter adiantamentos recebidos
Get Against Entries,Obter Contra Entradas
Get Current Stock,Obter Estoque atual
Get Items,Obter Itens
Get Items From Sales Orders,Obter Itens dos Pedidos de Vendas
Get Items from BOM,Obter Itens das LDMs
Get Last Purchase Rate,Obter Valor da Última Compra
Get Outstanding Invoices,Obter Faturas Pendentes
Get Relevant Entries,Obter entradas relevantes
Get Sales Orders,Obter Ordens de Venda
Get Specification Details,Obter Detalhes da Especificação
Get Stock and Rate,Obter Estoque e Valor
Get Template,Obter Modelo
Get Terms and Conditions,Obter os Termos e Condições
Get Weekly Off Dates,Obter Datas de Descanso Semanal
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.","Obter valorização e estoque disponível no almoxarifado de origem/destino na data e hora de postagem mencionada. Se for item serializado, pressione este botão depois de entrar os nº de série."
Global Defaults,Padrões globais
Global POS Setting {0} already created for company {1},Setting POS global {0} já criado para a empresa {1}
Global Settings,Definições Globais
"Go to the appropriate group (usually Application of Funds > Current Assets > Bank Accounts and create a new Account Ledger (by clicking on Add Child) of type ""Bank""","Vá para o grupo apropriado (geralmente Aplicações de Fundos > Ativo Circulante > Contas Bancárias e crie uma nova Conta Contábil (clicando em Adicionar Filho) do tipo ""Banco"""
"Go to the appropriate group (usually Source of Funds > Current Liabilities > Taxes and Duties and create a new Account Ledger (by clicking on Add Child) of type ""Tax"" and do mention the Tax rate.","Vá para o grupo apropriado (geralmente Fonte de Fundos > Passivo Circulante > Impostos e Taxas e crie uma nova Conta Contábil (clicando em Adicionar Filho) do tipo ""Imposto"" e mencione a taxa de imposto."
Goal,Meta
Goals,Metas
Goods received from Suppliers.,Mercadorias recebidas de fornecedores.
Google Drive,Google Drive
Google Drive Access Allowed,Acesso Google Drive Permitido
Government,Governo
Graduate,Pós-Graduação
Grand Total,Total Geral
Grand Total (Company Currency),Grande Total (moeda da empresa)
"Grid ""","Grid """
Grocery,Mercearia
Gross Margin %,Margem Bruta %
Gross Margin Value,Valor Margem Bruta
Gross Pay,Salário Bruto
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,Salário Bruto + Valor em Atraso + Valor de Cobrança - Dedução Total
Gross Profit,Lucro Bruto
Gross Profit (%),Lucro Bruto (%)
Gross Weight,Peso Bruto
Gross Weight UOM,UDM do Peso Bruto
Group,Grupo
Group by Account,Grupo por Conta
Group by Voucher,Grupo por Vale
Group or Ledger,Grupo ou Livro Contábil
Groups,Grupos
HR Manager,Gerente de RH
HR Settings,Configurações HR
HTML / Banner that will show on the top of product list.,HTML / Faixa que vai ser mostrada no topo da lista de produtos.
Half Day,Meio Dia
Half Yearly,Semestral
Half-yearly,Semestral
Happy Birthday!,Feliz Aniversário!
Hardware,Ferragens
Has Batch No,Tem Nº de Lote
Has Child Node,Tem Nó Filho
Has Serial No,Tem Nº de Série
Head of Marketing and Sales,Chefe de Marketing e Vendas
Header,Cabeçalho
Health Care,Serviços de Saúde
Health Concerns,Preocupações com a Saúde
Health Details,Detalhes sobre a Saúde
Held On,Realizada em
Help HTML,Ajuda HTML
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")","Ajuda: Para vincular a outro registro no sistema, use &quot;# Form / Nota / [Nota Name]&quot; como a ligação URL. (Não use &quot;http://&quot;)"
"Here you can maintain family details like name and occupation of parent, spouse and children","Aqui você pode manter detalhes familiares como o nome e ocupação do cônjuge, pai e filhos"
"Here you can maintain height, weight, allergies, medical concerns etc","Aqui você pode manter a altura, peso, alergias, preocupações médica, etc"
Hide Currency Symbol,Ocultar Símbolo de Moeda
High,Alto
History In Company,Histórico na Empresa
Hold,Segurar
Holiday,Feriado
Holiday List,Lista de Feriado
Holiday List Name,Nome da Lista de Feriados
Holiday master.,Cadastro de Feriados.
Holidays,Feriados
Home,Início
Host,Host
"Host, Email and Password required if emails are to be pulled","Host, E-mail e Senha são necessários se desejar obter e-mails"
Hour,Hora
Hour Rate,Valor por Hora
Hour Rate Labour,Valor por Hora Trabalhada
Hours,Horas
How Pricing Rule is applied?,Como a Regra de Preços é aplicada?
How frequently?,Com que frequência?
"How should this currency be formatted? If not set, will use system defaults","Como essa moeda deve ser formatada? Se não for definido, serão usados os padrões do sistema"
Human Resources,Recursos Humanos
Identification Card,RG
Identification of the package for the delivery (for print),Identificação do pacote para a Entrega (para impressão)
If Income or Expense,Se Receita ou Despesa
If Monthly Budget Exceeded,Se o orçamento mensal for excedido
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table. Available in Delivery Note and Sales Order","Se Venda BOM for definido, o BOM real do pacote é exibido como mesa. Disponível na nota de entrega e da Pedido de Vendas"
"If Supplier Part Number exists for given Item, it gets stored here","Se Número da Peça do Fornecedor existir para um determinado item, ele fica armazenado aqui"
If Yearly Budget Exceeded,Se orçamento anual for excedido
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.","Se marcado, os itens da LDM para a Sub-Montagem serão considerados para obter matérias-primas. Caso contrário, todos os itens da sub-montagem vão ser tratados como matéria-prima."
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Se marcado, não total. de dias de trabalho vai incluir férias, e isso vai reduzir o valor de salário por dia"
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Se marcado, o valor do imposto será considerado como já incluído na Impressão de Taxa / Impressão do Valor"
If different than customer address,Se diferente do endereço do cliente
"If disable, 'Rounded Total' field will not be visible in any transaction","Se desativar, &#39;Arredondado Total&#39; campo não será visível em qualquer transação"
"If enabled, the system will post accounting entries for inventory automatically.","Se ativado, o sistema irá postar lançamentos contábeis para o inventário automaticamente."
If more than one package of the same type (for print),Se mais do que uma embalagem do mesmo tipo (para impressão)
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.","Se múltiplas Regras de Preços continuam prevalecendo, os usuários são solicitados a definir a prioridade manualmente para resolver os conflitos."
"If no change in either Quantity or Valuation Rate, leave the cell blank.","Se nenhuma alteração em qualquer quantidade ou Avaliação Rate, deixar em branco o celular."
If not applicable please enter: NA,Se não for aplicável digite: NA
"If not checked, the list will have to be added to each Department where it has to be applied.","Se não for controlada, a lista deverá ser adicionado a cada departamento onde tem de ser aplicado."
"If selected Pricing Rule is made for 'Price', it will overwrite Price List. Pricing Rule price is the final price, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.","Se a Regra de Preços selecionada for feita para 'Preço', ela sobrescreverá a Lista de Preços. O preço da Regra de Preços é o preço final, então nenhum outro desconto será aplicado. Portanto, em transações como Ordem de Venda, Ordem de Compra, etc, ele será carregado no campo 'Valor', ao invés do campo 'Valor da Lista de Preços'."
"If specified, send the newsletter using this email address","Se especificado, enviar a newsletter usando esse endereço de e-mail"
"If the account is frozen, entries are allowed to restricted users.","Se a conta for congelada , as entradas são permitidos aos usuários restritos."
"If this Account represents a Customer, Supplier or Employee, set it here.","Se essa conta representa um cliente, fornecedor ou funcionário, estabeleça aqui."
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Se duas ou mais Regras de Preços forem encontradas baseadas nestas condições, Prioridade será aplicada. Prioridade é um número entre 0 e 20 com valor padrão de zero (branco). Números altos significam precedência se houverem múltiplas Regras de Preços com a mesma condição."
If you follow Quality Inspection. Enables Item QA Required and QA No in Purchase Receipt,Se você seguir Inspeção de Qualidade . Permite item QA Obrigatório e QA Não no Recibo de compra
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,Se você tiver Equipe de Vendas e Parceiros de Venda (Parceiros de Canal) eles podem ser marcadas e manter suas contribuições na atividade de vendas
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.","Se você criou um modelo padrão no cadastro de Impostos de Compra e Encargos, selecione um e clique no botão abaixo."
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.","Se você criou um modelo padrão no cadastro de Impostos de Vendas e Encargos, selecione um e clique no botão abaixo."
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page","Se você formatos longos de impressão, esse recurso pode ser usado para dividir a página a ser impressa em várias páginas com todos os cabeçalhos e rodapés em cada página"
If you involve in manufacturing activity. Enables Item 'Is Manufactured',Se envolver em atividades de fabricação. Permite Item ' é fabricado '
Ignore,Ignorar
Ignored: ,Ignorados:
Image,Imagem
Image View,Ver imagem
Implementation Partner,Parceiro de implementação
Import Attendance,Importação de Atendimento
Import Failed!,Falha na Importação !
Import Log,Importar Log
Import Successful!,Importação com Sucesso!
Imports,Importações
In Hours,Em Horas
In Process,Em Processo
In Qty,Na Qtde
In Value,Em Valor
In Words,Por Extenso
In Words (Company Currency),Por Extenso (Moeda da Empresa)
In Words (Export) will be visible once you save the Delivery Note.,Por extenso (Exportação) será visível quando você salvar a Guia de Remessa.
In Words will be visible once you save the Delivery Note.,Por extenso será visível quando você salvar a Guia de Remessa.
In Words will be visible once you save the Purchase Invoice.,Por extenso será visível quando você salvar a Fatura de Compra.
In Words will be visible once you save the Purchase Order.,Por extenso será visível quando você salvar a Ordem de Compra.
In Words will be visible once you save the Purchase Receipt.,Por extenso será visível quando você salvar o recibo de compra.
In Words will be visible once you save the Quotation.,Por extenso será visível quando você salvar a cotação.
In Words will be visible once you save the Sales Invoice.,Por extenso será visível quando você salvar a Fatura de Venda.
In Words will be visible once you save the Sales Order.,Por extenso será visível quando você salvar a Pedido de Venda.
Incentives,Incentivos
Include Reconciled Entries,Incluir Lançamentos Reconciliados
Include holidays in Total no. of Working Days,Incluir feriados em nenhuma total. de dias de trabalho
Income,Receita
Income / Expense,Receitas / Despesas
Income Account,Conta de Receita
Income Booked,Receita Contabilizada
Income Tax,Imposto de Receita
Income Year to Date,Ano de Receita até a Data
Income booked for the digest period,Receita contabilizada para o período consolidado
Incoming,Entrada
Incoming Rate,Taxa de Entrada
Incoming quality inspection.,Inspeção de qualidade de entrada.
Incorrect or Inactive BOM {0} for Item {1} at row {2},Incorreto ou inativo BOM {0} para {1} item na linha {2}
Indicates that the package is a part of this delivery (Only Draft),Indica que o pacote é parte desta entrega (Somente Rascunho)
Indirect Expenses,Despesas Indiretas
Indirect Income,Receitas Indiretas
Individual,Individual
Individual Tax Number,CPF
Industry,Indústria
Industry Type,Ramo de Atividade
Inspected By,Inspecionado por
Inspection Criteria,Critérios de Inspeção
Inspection Required,Inspeção Obrigatória
Inspection Type,Tipo de Inspeção
Installation Date,Data de Instalação
Installation Note,Nota de Instalação
Installation Note Item,Item da Nota de Instalação
Installation Note {0} has already been submitted,Instalação Nota {0} já foi apresentado
Installation Status,Estado da Instalação
Installation Time,O tempo de Instalação
Installation date cannot be before delivery date for Item {0},Data de instalação não pode ser anterior à data de entrega de item {0}
Installation record for a Serial No.,Registro de instalação para um Nº de Série
Installed Qty,Quantidade Instalada
Instructions,Instruções
Integrate incoming support emails to Support Ticket,Integrar e-mails de apoio recebidas de Apoio Ticket
Interested,Interessado
Intern,Internar
Internal,Interno
Internet Publishing,Publishing Internet
Introduction,Introdução
Invalid Barcode or Serial No,Código de Barras ou Nº de Série inválidos
